,y,x1,x2
279,9.0099,1.5341,6.2099
2074,-7.7814,4.667,8.3409
2708,-4.3913,5.7735,2.4644
2537,-4.3033,5.4751,1.4137
1354,-3.6901,3.4104,4.2289
3103,-2.8855,6.463,3.6425
3129,1.8854,6.5083,7.3007
3374,3.0218,6.9359,3.6041
3837,9.4873,7.744,4.1452
3687,10.5866,7.4822,6.4019
1219,-1.6889,3.1748,7.9657
943,3.742,2.693,1.1816
1189,1.1712,3.1224,4.6513
2765,-4.0364,5.873,2.0577
3531,2.6864,7.21,4.0788
642,6.897,2.1677,5.976
3803,3.7723,7.6847,3.4558
2501,-3.6952,5.4123,6.9429
3401,6.3477,6.9831,5.983
1421,-0.7318,3.5273,2.7611
1937,-6.5666,4.4279,2.6093
1379,-2.0866,3.454,7.7144
1704,-1.5411,4.0212,6.1662
1330,-2.0482,3.3685,2.9618
3427,4.7819,7.0284,5.7002
2464,-4.2972,5.3477,7.3199
2133,-5.9082,4.77,6.1854
2502,-5.7066,5.414,7.2414
1422,-5.073,3.5291,2.4592
1334,-3.8345,3.3755,2.0071
4113,4.6329,8.2257,7.1401
3993,6.3467,8.0163,4.4262
3581,6.1751,7.2972,6.908
338,5.9167,1.6371,7.0703
2046,-5.3587,4.6181,6.5432
2807,-4.0221,5.9463,2.8274
493,7.5172,1.9076,2.3579
1028,-0.0189,2.8414,3.7193
859,2.8807,2.5464,2.3981
3976,8.3719,7.9866,5.6531
1826,-3.5167,4.2342,8.409
2188,-7.5869,4.866,5.3547
4367,1.334,8.6691,1.6773
879,0.9973,2.5813,8.1158
3939,2.5774,7.922,8.5364
958,0.2807,2.7192,3.2777
1811,-5.2156,4.208,7.0948
3231,1.6589,6.6864,7.7318
2364,-6.4403,5.1732,3.7839
290,6.2788,1.5533,4.6914
3014,-1.8432,6.3076,3.9951
965,3.3471,2.7314,1.6371
1718,-10.5071,4.0457,8.6202
884,0.1869,2.5901,7.5573
430,3.779,1.7977,3.8013
754,5.6525,2.3632,2.0089
3652,8.435,7.4211,1.0489
337,1.3507,1.6354,3.3912
560,7.7901,2.0246,7.1803
2723,-3.8259,5.7997,1.5411
4116,8.2804,8.231,4.7124
1522,-7.1466,3.7036,4.6757
1576,-7.1028,3.7978,4.8363
168,4.4563,1.3404,1.4067
3141,-1.4826,6.5293,2.9164
1716,-8.2794,4.0422,1.6668
459,4.3123,1.8483,1.9932
1500,0.0676,3.6652,7.6044
2920,-3.1775,6.1436,8.4771
2029,-7.9035,4.5885,2.6128
3507,4.126,7.1681,4.2167
4135,9.9368,8.2641,6.9255
3375,-0.8963,6.9377,2.8239
1131,1.5124,3.0212,6.2204
1827,-7.8906,4.2359,1.6738
2117,-5.5715,4.7421,7.9395
2954,0.0242,6.2029,1.3631
1303,0.8097,3.3214,7.7964
233,2.6264,1.4539,4.3563
1603,-6.7427,3.845,3.4453
2254,-7.5125,4.9812,3.8223
891,4.5658,2.6023,6.1348
2588,-6.5191,5.5641,8.3217
394,8.9719,1.7349,5.236
2779,-0.4959,5.8975,6.9586
1763,-1.8449,4.1242,1.0856
3474,4.3989,7.1105,3.4715
324,11.3132,1.6127,6.7701
3754,4.2532,7.5992,2.4941
1078,3.2173,2.9287,1.6982
568,5.1503,2.0385,7.0459
600,1.9031,2.0944,4.7089
1996,-7.6269,4.5309,8.4038
1412,-2.6581,3.5116,7.7528
3487,6.8299,7.1332,6.1994
223,3.0926,1.4364,1.4853
832,3.9033,2.4993,6.0825
1130,-1.7636,3.0194,3.1887
3152,2.3146,6.5485,7.292
2786,1.6739,5.9097,6.2361
825,4.387,2.4871,3.454
3759,7.5015,7.6079,6.4664
4297,3.609,8.5469,3.8537
2226,-6.7421,4.9323,2.8676
3609,0.7313,7.3461,2.885
2398,-7.1199,5.2325,3.9916
2276,-1.671,5.0196,1.3125
2630,-1.94,5.6374,6.9691
3912,4.2588,7.8749,4.2586
153,4.2306,1.3142,1.6022
4250,5.8617,8.4648,3.2463
3608,3.9485,7.3443,7.0424
3053,-2.9452,6.3757,8.5137
723,2.5646,2.3091,8.7197
1172,-4.2854,3.0927,2.5639
3794,2.9831,7.669,2.8449
8,3.3404,1.0612,7.9919
18,3.5071,1.0786,3.7856
4103,5.119,8.2083,6.7719
2629,-0.8079,5.6357,4.9602
7,3.8276,1.0594,8.6394
1105,2.0093,2.9758,6.7946
1031,2.0994,2.8466,3.1922
1904,-7.4211,4.3703,8.6324
687,3.1129,2.2462,3.1486
3290,3.9418,6.7893,7.0058
630,7.3157,2.1468,2.4696
2328,-6.2136,5.1103,1.6214
3031,-0.4851,6.3373,3.2009
1378,-2.0198,3.4523,7.4107
181,5.7351,1.3631,5.5693
4144,3.461,8.2798,2.3544
4090,5.6932,8.1856,1.2828
2260,-5.5172,4.9916,1.7959
392,3.8257,1.7314,3.9794
259,10.2142,1.4992,1.9844
2050,-6.5365,4.6251,7.9255
2497,-6.5397,5.4053,2.2131
766,4.0172,2.3841,4.7473
3311,5.666,6.826,4.9428
446,5.7671,1.8256,7.2501
1862,-7.4156,4.297,3.4523
2160,-7.3861,4.8171,7.7231
164,10.1609,1.3334,6.8103
474,4.6401,1.8745,4.2359
2885,-3.2636,6.0825,3.6442
4218,10.5443,8.409,7.0721
3602,5.3201,7.3339,7.6672
3688,6.7671,7.484,5.1138
2956,4.0847,6.2064,5.9498
497,4.258,1.9146,1.6179
625,1.0822,2.138,8.299
3919,7.7321,7.8871,5.4192
2382,-6.9949,5.2046,5.8137
4278,8.5613,8.5137,7.8016
1150,0.6235,3.0543,8.4003
3569,5.7298,7.2763,7.2745
734,8.8334,2.3283,7.4072
2109,-1.5033,4.7281,7.8348
1668,-4.8146,3.9584,7.6271
4332,1.7651,8.608,2.9339
976,1.2578,2.7506,8.1245
3857,-0.5374,7.7789,3.0473
2378,-3.0314,5.1976,6.2657
2772,0.0891,5.8853,8.3968
2984,-2.7581,6.2553,2.2951
1194,2.5409,3.1311,6.0371
4133,5.1637,8.2606,4.208
2426,-2.8981,5.2814,6.2832
4397,5.2658,8.7214,6.456
475,6.5986,1.8762,5.8678
2429,-4.5918,5.2866,3.0665
1037,1.2488,2.8571,8.5521
2228,-6.5945,4.9358,6.3198
1326,-1.9007,3.3615,7.4648
2640,-4.0353,5.6549,1.6301
3156,1.334,6.5555,1.9862
684,4.0721,2.241,1.9268
2173,-6.5005,4.8398,2.9077
3657,5.6234,7.4299,3.0648
1689,-6.271,3.9951,2.2061
1113,0.3504,2.9897,1.7226
1850,-4.5571,4.2761,2.9897
1338,-5.7694,3.3824,8.5224
283,8.4509,1.5411,6.2116
1628,-5.6218,3.8886,3.1224
3798,8.4119,7.676,5.9568
3960,2.1366,7.9587,1.6424
3096,-0.5976,6.4507,1.686
3286,5.5135,6.7823,5.5746
2263,-8.0232,4.9969,8.5765
4390,0.0782,8.7092,1.8797
867,4.6465,2.5604,6.5048
4327,6.7908,8.5992,6.1104
1271,-3.5351,3.2655,5.1609
3216,-1.9694,6.6602,4.1521
1548,-2.8515,3.749,4.5134
2289,1.4423,5.0423,7.0738
3456,1.7386,7.0791,7.9308
2870,-4.2864,6.0563,3.6826
820,1.4533,2.4784,4.8171
464,9.8893,1.857,5.5816
172,1.1128,1.3474,2.241
4364,4.0401,8.6638,8.0111
1075,-2.0293,2.9234,2.5499
1109,-1.8365,2.9828,2.4923
2432,-6.9064,5.2918,8.0338
479,2.7735,1.8832,6.2937
1499,-1.6392,3.6634,6.8941
2707,-5.6272,5.7718,1.8727
1148,-0.3829,3.0508,7.018
4345,4.6446,8.6307,4.8468
1366,-0.1244,3.4313,8.4614
1161,1.9358,3.0735,1.4207
4051,5.2695,8.1175,8.0948
1507,-0.2736,3.6774,1.3073
2888,-1.495,6.0877,8.2624
35,6.5986,1.1083,5.7718
3257,3.9895,6.7317,4.6234
2520,-5.4872,5.4454,4.0771
2877,0.8573,6.0685,7.6219
3918,3.5041,7.8854,3.2376
1663,-3.3879,3.9497,1.5062
901,8.2374,2.6197,6.4891
1404,0.2186,3.4976,3.0962
4392,7.2488,8.7127,6.1052
913,5.9146,2.6407,7.1942
3272,2.8887,6.7579,4.4192
3572,5.8326,7.2815,7.456
742,-0.5467,2.3422,3.7909
3851,6.8832,7.7685,6.182
1401,0.8048,3.4924,6.9831
3285,3.1785,6.7806,5.5554
2354,-6.7948,5.1557,8.1751
3182,4.703,6.6008,7.1611
2180,-8.8419,4.852,7.8191
1791,-4.326,4.1731,5.3145
36,7.4365,1.11,1.5673
740,3.1105,2.3387,5.5065
2796,-3.9911,5.9271,6.3355
1473,-0.1874,3.6181,7.1209
4219,6.722,8.4107,4.7682
113,5.6431,1.2444,4.6129
2334,-6.8687,5.1208,3.3266
2453,-3.9641,5.3285,6.0074
1455,-3.454,3.5867,3.255
2182,-6.7585,4.8555,2.6965
3779,5.1971,7.6428,3.3161
1370,2.2946,3.4383,7.4351
1087,-5.3726,2.9444,2.8641
3728,4.4283,7.5538,3.4383
1993,-6.9167,4.5256,2.2078
433,9.4992,1.8029,6.0668
846,0.7175,2.5237,2.9391
488,5.721,1.8989,7.6201
333,6.4314,1.6284,6.367
3181,1.4335,6.5991,3.639
2859,0.796,6.0371,6.6183
3220,2.5993,6.6672,5.8661
3844,5.5151,7.7562,8.3723
3907,4.8528,7.8662,1.1921
92,6.7421,1.2078,7.3234
3514,7.8641,7.1803,5.3651
3356,7.5785,6.9045,5.9062
2549,-0.455,5.496,6.5624
573,6.8945,2.0473,1.2776
2564,-2.707,5.5222,5.2988
1553,-4.2411,3.7577,4.407
2945,-0.3944,6.1872,7.1646
894,-1.7649,2.6075,3.5413
4056,2.6918,8.1263,2.5534
2994,-0.8337,6.2727,7.7842
4385,1.6174,8.7005,8.5312
3649,1.7931,7.4159,3.2323
3501,6.1139,7.1576,4.6932
4201,7.0866,8.3793,8.4875
2585,-0.2352,5.5589,7.2466
4105,2.2499,8.2118,4.5309
1135,0.5392,3.0281,4.9445
2557,-3.0162,5.51,6.2448
2159,-1.7835,4.8154,6.4822
2555,-3.1044,5.5065,4.0247
2297,-5.3242,5.0562,7.4211
2921,-3.604,6.1453,3.8293
2902,-1.2286,6.1121,1.597
1392,-6.0011,3.4767,8.5731
440,3.8333,1.8151,8.2833
850,1.5579,2.5307,2.2986
4059,8.414,8.1315,6.1872
3980,8.087,7.9936,6.6008
1803,-7.6613,4.194,4.2464
3392,3.1334,6.9674,4.4401
1936,-5.5124,4.4262,4.5466
688,4.0242,2.248,4.475
2272,-7.297,5.0126,7.7161
3357,3.2806,6.9063,1.5691
1724,-5.5071,4.0561,2.4016
908,4.8784,2.632,6.1069
1025,1.4644,2.8362,5.6444
2572,-0.5074,5.5362,1.4312
227,3.6906,1.4434,2.9042
1099,0.4036,2.9653,3.2446
3670,6.5436,7.4526,6.8574
2759,-9.253,5.8626,3.3423
3685,3.4405,7.4787,3.7437
1174,-4.6356,3.0962,3.3249
4088,6.6795,8.1821,5.7247
670,1.9782,2.2166,8.1856
341,3.8514,1.6424,4.0684
510,1.4024,1.9373,2.899
2516,-2.1474,5.4384,7.1052
972,2.9075,2.7437,4.8223
1700,0.2349,4.0143,6.6898
71,4.6086,1.1711,2.2113
1134,2.2509,3.0264,6.3076
3880,1.2661,7.8191,3.1241
4213,7.7372,8.4003,6.6218
3091,-0.1074,6.442,8.4334
116,6.459,1.2497,4.0317
1965,-6.7447,4.4768,5.1732
1987,-10.437,4.5152,1.9809
1102,0.1186,2.9706,7.5939
951,3.6345,2.707,1.6458
3586,7.6393,7.3059,4.6565
2138,-6.7432,4.7787,5.8277
2862,-4.7834,6.0423,1.5952
315,3.3092,1.597,3.3667
198,5.4888,1.3928,4.8014
2657,0.3694,5.6845,5.1854
2983,1.6822,6.2535,6.5956
4147,5.8103,8.2851,3.7943
3439,7.4291,7.0494,6.2081
2353,-1.2917,5.154,6.3582
4177,4.2911,8.3374,3.7682
585,5.6771,2.0682,5.3704
1940,-9.008,4.4331,4.119
2754,-3.825,5.8538,8.4282
863,1.1527,2.5534,4.1748
1153,1.4133,3.0596,5.7107
1556,1.5358,3.7629,6.6305
868,2.2756,2.5621,8.7074
2450,-8.3444,5.3233,1.8029
1393,-1.516,3.4784,5.3686
1733,-8.0284,4.0719,1.487
3538,9.0345,7.2222,7.6358
330,3.2394,1.6232,1.7349
435,5.4126,1.8064,1.0804
1341,-5.8484,3.3877,3.3964
2852,-2.7421,6.0249,8.5172
2072,-7.5742,4.6635,3.2917
3627,7.2099,7.3775,4.7909
1268,0.2798,3.2603,6.9324
893,-3.3688,2.6058,8.6987
2542,-4.8522,5.4838,3.7996
2514,-2.9245,5.435,5.9149
2565,-2.2837,5.524,6.627
1676,-1.7585,3.9724,4.3843
419,7.5192,1.7785,2.3143
1339,0.0361,3.3842,7.9238
1377,-1.7587,3.4505,5.2883
3406,2.8274,6.9918,2.974
1197,0.4046,3.1364,4.8328
4301,-1.3643,8.5539,2.145
2789,-1.9721,5.9149,8.491
4316,3.1996,8.58,3.9968
2300,-2.429,5.0615,1.0908
434,10.9421,1.8047,6.2849
3763,6.9372,7.6149,7.7545
3145,2.0138,6.5363,6.6165
4043,6.1116,8.1036,3.9724
730,4.215,2.3213,8.4404
1609,-9.283,3.8554,2.3963
3790,3.8603,7.662,4.5012
30,2.7923,1.0996,5.0004
1605,-4.7822,3.8485,3.9322
4099,5.4893,8.2013,1.2811
619,5.6015,2.1276,7.7301
4230,7.4403,8.4299,6.1628
3497,2.144,7.1506,3.1172
4226,1.9785,8.423,2.3946
1458,-3.4523,3.5919,8.0128
2992,0.6148,6.2692,7.1279
4223,3.4413,8.4177,4.7717
3694,3.6188,7.4944,1.2095
2906,4.0808,6.1191,6.6113
4172,0.3152,8.3287,3.269
1077,3.8296,2.9269,7.4159
238,6.3397,1.4626,4.2918
1708,-5.4607,4.0282,4.1364
1619,-4.197,3.8729,7.3705
4237,1.582,8.4422,1.7279
3434,0.4188,7.0407,3.8956
749,6.8214,2.3544,6.5834
3270,3.9243,6.7544,3.1852
2399,-0.8547,5.2342,7.8767
509,10.0621,1.9356,6.0737
360,7.3135,1.6755,1.7174
2344,-2.8394,5.1382,6.4717
447,10.7156,1.8274,7.1768
3885,6.8919,7.8278,5.5781
538,3.4418,1.9862,4.2551
2338,-8.3973,5.1278,7.4316
3250,1.4304,6.7195,8.032
1797,-4.7338,4.1836,4.1696
875,6.4907,2.5744,5.2674
2393,-6.7584,5.2238,3.4802
1891,-2.4099,4.3476,6.1715
3906,4.4537,7.8645,1.9914
2478,-7.0174,5.3721,2.611
3287,3.7451,6.7841,7.9604
1362,-5.5195,3.4243,2.9199
4182,8.7008,8.3462,5.5501
4241,7.5896,8.4491,7.0407
1207,-1.7262,3.1538,2.5709
3983,10.5265,7.9988,6.9342
4269,2.6967,8.498,6.9604
1322,-6.3168,3.3545,4.0596
3046,-0.2083,6.3635,1.7418
4242,3.9482,8.4509,5.1313
2706,-3.1532,5.7701,8.0634
2206,-10.1268,4.8974,3.6024
1497,-0.9423,3.66,6.442
3280,4.8103,6.7719,6.6532
2741,-0.9079,5.8311,1.8082
699,4.9953,2.2672,3.8153
2351,-1.9876,5.1505,1.4434
3532,5.4245,7.2117,2.4103
357,5.5887,1.6703,7.7824
3518,2.0408,7.1873,5.4751
2340,-1.8636,5.1313,4.1329
1363,-0.9782,3.4261,7.2239
610,4.9806,2.1118,8.0791
1441,-1.833,3.5622,8.3601
643,5.8215,2.1694,4.7613
2593,-3.6239,5.5728,3.6111
2269,-9.4636,5.0073,3.6861
1540,-2.3967,3.735,6.1296
2091,-7.4576,4.6967,4.7874
1802,-4.0999,4.1923,2.227
1597,-2.848,3.8345,1.604
1,3.9542,1.0489,3.3982
2878,0.2387,6.0703,8.327
1659,-6.0338,3.9427,4.941
1644,0.1807,3.9165,5.9044
380,2.3898,1.7104,2.8222
2918,-1.7892,6.1401,8.3776
4020,5.9559,8.0634,5.0999
4245,4.0727,8.4561,1.4277
3768,8.5738,7.6236,1.1798
1347,1.3307,3.3982,1.4085
202,8.3753,1.3998,6.5973
3437,0.149,7.0459,1.6965
444,5.6192,1.8221,6.0563
2026,-5.2217,4.5832,7.0808
3782,9.0775,7.648,8.5975
3802,3.5015,7.6829,2.1398
3197,-0.7789,6.627,3.5517
3903,4.7524,7.8592,2.7262
93,8.9742,1.2095,5.5344
3504,3.236,7.1628,7.5695
2217,-7.7448,4.9166,4.29
1133,2.5505,3.0247,5.3233
34,4.2298,1.1065,4.3494
1756,-11.0274,4.112,2.6651
1808,-1.3637,4.2028,1.0507
2060,-4.8614,4.6426,6.9813
3828,4.0927,7.7283,2.8047
1164,2.9427,3.0788,8.2188
4083,7.6763,8.1734,6.339
396,3.4439,1.7383,8.0582
3154,-1.2266,6.552,4.0823
3804,5.2681,7.6864,3.9846
690,6.4224,2.2515,8.1577
2932,0.1943,6.1645,5.9516
1129,-0.9747,3.0177,3.379
1799,-9.3507,4.187,1.2863
239,6.0988,1.4643,2.1153
457,5.1092,1.8448,4.5675
4220,3.1189,8.4125,8.3043
992,2.7779,2.7786,7.2518
503,3.3621,1.9251,2.9426
2827,-5.2349,5.9812,3.0351
4017,6.7291,8.0582,3.4627
4184,5.3078,8.3497,7.6707
1275,-2.6316,3.2725,8.2484
3519,4.1918,7.189,7.5346
3536,4.6923,7.2187,5.8765
779,3.092,2.4068,4.5361
2461,-8.2819,5.3425,2.5028
1788,-2.8879,4.1678,7.2798
4125,9.0226,8.2467,6.2989
3578,10.4509,7.292,7.5608
2281,-1.4891,5.0283,5.5938
1600,-5.5908,3.8397,4.1678
1858,-8.676,4.29,4.112
3689,3.5618,7.4857,1.583
1369,-5.0534,3.4366,6.8801
1986,-6.7411,4.5134,7.4787
4196,4.8477,8.3706,4.1486
2863,-6.4751,6.0441,2.5185
1892,-6.484,4.3494,3.9218
2490,-4.4407,5.3931,7.3758
531,8.0083,1.974,6.7492
1173,-0.3008,3.0945,5.6618
632,3.3108,2.1502,8.2414
2633,-4.3615,5.6426,6.3443
3493,7.0938,7.1436,6.7108
1903,-6.8574,4.3686,8.6621
3166,-1.1066,6.5729,5.0056
2539,-2.7574,5.4786,7.0232
3665,5.3003,7.4438,2.0612
3690,1.9295,7.4875,4.8869
1498,-4.4587,3.6617,3.7141
3086,0.737,6.4333,3.9584
2839,-2.9707,6.0022,4.955
1650,-4.1093,3.927,1.5464
563,3.4616,2.0298,8.3305
2607,-3.3219,5.5973,4.7805
2503,0.7842,5.4158,5.311
4287,6.7712,8.5294,7.2728
1760,-7.9456,4.119,2.3614
564,2.4457,2.0316,4.0055
1424,-0.9915,3.5325,6.9621
3741,2.6365,7.5765,2.7594
916,5.2714,2.6459,5.6479
40,5.2496,1.117,3.0718
3845,1.7222,7.758,8.5992
905,4.0223,2.6267,7.4194
798,1.8475,2.44,7.2361
1732,-0.13,4.0701,1.0821
3787,4.3065,7.6568,3.4156
1323,-2.0114,3.3563,6.9202
1101,0.1567,2.9688,1.6441
1641,-0.0233,3.9113,1.0699
1587,-4.8881,3.817,4.0352
1202,-4.1382,3.1451,3.1346
3243,7.3469,6.7073,7.0616
3824,3.1888,7.7213,6.4525
375,6.472,1.7017,7.8208
2844,-0.3326,6.0109,7.0773
3543,7.1314,7.2309,6.3635
1817,-4.9083,4.2185,1.1973
2155,-7.111,4.8084,3.0369
1162,3.2693,3.0753,5.6758
4149,3.8017,8.2886,1.8884
861,6.4811,2.5499,5.3267
1528,0.4409,3.7141,6.4368
2471,-9.1899,5.3599,2.597
260,4.1426,1.501,8.1804
3464,2.7344,7.093,4.6059
4234,2.3751,8.4369,2.3597
989,9.2979,2.7733,6.7963
3260,3.4932,6.737,2.0665
2982,-3.2769,6.2518,3.4994
2627,-1.3686,5.6322,6.812
750,6.6182,2.3562,7.3478
2296,-7.4643,5.0545,8.0931
1152,0.4251,3.0578,1.7401
4085,7.335,8.1769,6.2518
567,4.9985,2.0368,1.5882
2449,-4.172,5.3215,6.641
3026,4.5323,6.3286,6.524
3221,1.048,6.6689,8.2868
3461,2.148,7.0878,1.9687
393,7.5834,1.7331,7.5904
2916,-7.0493,6.1366,7.9081
561,4.9921,2.0263,7.2222
1819,-5.1098,4.222,7.7615
3186,3.7564,6.6078,2.4452
2680,0.1814,5.7247,1.3701
2314,-6.3763,5.0859,2.5482
13,8.064,1.0699,5.8119
3814,3.8393,7.7039,4.4087
222,6.0573,1.4347,2.8484
3304,3.916,6.8138,6.8871
427,8.06,1.7925,1.2985
880,7.6264,2.5831,2.8414
3323,2.2952,6.8469,4.5064
244,3.5575,1.4731,4.215
2669,-0.8445,5.7055,5.6287
2756,-1.2101,5.8573,6.6951
3613,4.0496,7.3531,4.3249
1019,-0.7505,2.8257,4.4471
2987,-3.9221,6.2605,2.536
2826,-5.8018,5.9795,3.173
1695,-5.9848,4.0055,5.1644
2430,-4.9174,5.2883,4.9742
3352,6.2821,6.8975,6.9063
848,0.4397,2.5272,6.8155
1562,-3.4008,3.7734,8.2659
478,6.5637,1.8815,1.1694
2214,-6.631,4.9114,8.6691
2283,-3.5717,5.0318,5.9847
1041,-0.7588,2.8641,1.9303
1221,4.0248,3.1782,4.0753
2126,-4.3557,4.7578,6.6776
1516,-0.8511,3.6931,7.3723
3214,-0.9777,6.6567,4.4558
830,0.596,2.4958,3.0561
968,0.5619,2.7367,1.7541
85,8.5055,1.1956,5.2325
1879,-4.4315,4.3267,8.2973
4236,4.1738,8.4404,1.5132
739,1.8847,2.337,4.3686
311,5.2402,1.59,2.8693
2842,-3.2075,6.0074,7.1454
757,3.7765,2.3684,1.9426
409,4.0431,1.761,3.5587
3788,-0.1394,7.6585,3.728
3491,6.732,7.1401,5.7578
1106,-3.6069,2.9775,3.3353
897,-0.9411,2.6128,3.6931
3430,4.203,7.0337,5.2517
11,8.7936,1.0664,6.1732
1048,-0.401,2.8763,7.7091
3930,5.1847,7.9063,5.0597
2366,-6.6142,5.1766,1.1397
3515,4.6703,7.182,4.379
1635,-8.097,3.9008,3.6792
1999,-4.9251,4.5361,3.7123
1652,-6.578,3.9305,4.5797
275,6.7948,1.5272,6.0127
154,-0.3435,1.316,2.1485
4067,4.7954,8.1455,4.6321
3189,2.6367,6.6131,6.8609
1767,-5.0099,4.1312,8.1908
869,0.8314,2.5639,4.0911
3560,1.8569,7.2606,6.7038
2528,-6.316,5.4594,1.6476
4192,3.3446,8.3636,7.1977
89,3.2793,1.2025,2.4662
3060,-0.4244,6.3879,8.4264
3971,3.8561,7.9779,1.391
2379,-2.5816,5.1993,5.5397
