id,earnings,occ,ability,age,region,female,education,exp,year
80,,29,38,49,4,1,5,38,2000
81,3321.2,14,86,45,2,1,12,26,2000
82,5363.7002,48,94,35,4,1,11,19,2000
83,5324.9502,46,96,39,1,1,16,20,2000
84,4241.2002,48,35,47,4,1,5,36,2000
85,2748.45,4,83,45,1,1,11,31,2000
86,3992.2,27,54,39,4,1,6,32,2000
87,4587.75,33,73,33,1,0,7,20,2000
88,3535,14,61,42,4,0,7,30,2000
89,3840.5,25,76,46,4,0,11,29,2000
90,,26,65,34,2,1,11,16,2000
91,4042.45,18,67,49,1,1,10,35,2000
92,4094.25,35,82,38,1,0,9,27,2000
93,4129,40,60,44,4,0,6,34,2000
94,2564.7,13,43,47,2,1,5,35,2000
95,4617.75,39,57,42,1,0,9,30,2000
96,,43,97,36,2,0,15,15,2000
97,2791.7,2,68,40,2,1,7,29,2000
98,2518.7,3,44,33,4,1,7,21,2000
99,4340,38,96,30,2,0,11,18,2000
100,3702.45,27,52,34,3,1,5,25,2000
101,5561.4502,37,96,49,1,1,15,29,2000
102,2863.2,9,37,44,2,1,5,38,2000
103,3742.95,24,78,39,1,1,12,20,2000
104,2405.25,20,23,35,1,0,3,25,2000
105,3342.95,16,42,35,3,1,6,28,2000
106,4012.45,18,84,33,1,1,9,19,2000
107,4268.5,44,30,31,4,0,3,25,2000
108,5234.7002,41,70,43,4,1,11,27,2000
109,4502.75,44,29,46,1,0,4,36,2000
110,3393,40,20,34,2,0,2,30,2000
111,3479.95,33,28,48,1,1,3,42,2000
112,4560.4502,30,70,44,1,1,11,29,2000
113,2352,9,49,47,2,0,7,34,2000
114,4836.75,29,82,45,1,0,11,32,2000
115,4723.75,47,72,35,3,0,7,26,2000
116,2998.95,20,25,44,1,1,4,38,2000
117,5126.2002,51,69,47,2,1,10,34,2000
118,3168.75,18,50,30,3,0,7,20,2000
119,3615.95,27,61,34,3,1,8,20,2000
120,3587.75,15,89,35,3,0,14,20,2000
121,4075,14,89,38,4,0,12,22,2000
122,4781.25,29,99,43,1,0,14,25,2000
123,4935.7002,37,66,49,4,1,9,39,2000
124,3240,8,86,37,4,0,13,18,2000
125,3033.75,15,65,48,3,0,8,36,2000
126,2758.75,17,37,46,3,0,4,40,2000
127,3866.25,25,79,39,3,0,12,25,2000
128,3171.7,9,70,49,2,1,7,35,2000
129,5890,46,95,47,4,0,10,32,2000
130,4107.5,28,50,39,2,0,5,33,2000
131,2100.25,8,46,32,3,0,6,21,2000
132,3630.25,10,80,38,1,0,14,23,2000
133,3162.2,14,37,49,2,1,5,38,2000
134,2987.2,23,34,35,4,1,4,28,2000
135,3161.25,25,60,31,3,0,7,23,2000
136,5668.5,47,97,33,4,0,13,13,2000
137,4090.25,33,78,48,1,0,12,33,2000
138,2459.95,3,44,34,1,1,6,22,2000
139,2564.7,7,43,43,2,1,5,31,2000
140,4725.25,45,85,34,3,0,14,13,2000
141,3976.5,26,60,34,4,0,7,25,2000
142,5116.2002,31,95,49,2,1,12,30,2000
143,5656,45,91,40,4,0,15,18,2000
144,3550.7,22,60,36,4,1,7,27,2000
145,,30,68,46,4,0,10,35,2000
146,1959,8,26,46,4,0,3,42,2000
147,4916.75,43,54,48,1,0,9,36,2000
148,3202.5,6,94,48,4,0,12,33,2000
149,4375.7002,39,81,41,2,1,8,31,2000
150,5080.75,48,89,49,1,0,9,34,2000
151,4317.4502,39,60,32,3,1,7,19,2000
152,4537,47,22,32,2,0,2,28,2000
153,3542.25,6,94,36,1,0,14,19,2000
154,3820.25,8,89,49,3,0,15,31,2000
155,2545.5,3,40,42,2,0,4,35,2000
156,5040.9502,49,41,31,3,1,6,20,2000
157,3332.95,16,45,49,1,1,4,44,2000
158,4480.5,31,84,31,4,0,14,15,2000
159,4322.25,21,94,46,3,0,13,29,2000
160,3734.45,45,21,32,1,1,2,23,2000
161,4715.7002,50,49,48,4,1,8,39,2000
162,2715.95,9,33,47,1,1,3,38,2000
163,4606.5,48,63,42,4,0,10,29,2000
164,4256.7002,42,56,39,4,1,8,27,2000
165,4321.7002,38,44,37,2,1,7,25,2000
166,3396,19,80,32,2,0,9,22,2000
167,4425.9502,37,54,48,3,1,7,36,2000
168,4023.5,36,62,40,2,0,6,29,2000
169,3569.7,18,96,41,2,1,13,25,2000
170,4526.4502,44,29,40,3,1,3,33,2000
171,3024.75,21,34,46,3,0,4,38,2000
172,3218.5,29,37,43,2,0,5,33,2000
173,5633.4502,49,78,40,3,1,12,23,2000
174,4990.25,40,72,48,3,0,9,33,2000
175,3081.45,13,40,41,1,1,4,35,2000
176,3692.75,28,38,46,3,0,4,38,2000
177,4754,42,58,39,4,0,10,22,2000
178,4227.2002,20,99,35,2,1,12,22,2000
179,2269.5,15,22,46,4,0,2,41,2000
180,3330.25,9,88,41,1,0,11,25,2000
181,3615.75,37,31,37,1,0,3,32,2000
182,,33,22,45,3,1,3,38,2000
183,2550,9,38,47,4,0,4,40,2000
184,4096.25,36,61,32,1,0,9,17,2000
185,4659.25,25,91,43,1,0,15,25,2000
186,3803.7,30,73,35,2,1,7,23,2000
187,5447.9502,48,77,32,3,1,9,20,2000
188,3314.45,22,48,33,1,1,5,23,2000
189,3343.45,28,25,42,3,1,3,35,2000
190,3998.2,35,45,39,2,1,6,30,2000
191,4802.9502,34,83,39,1,1,8,24,2000
192,5085.7002,51,85,42,4,1,9,29,2000
193,5141.4502,33,89,44,3,1,12,25,2000
194,5011.4502,31,97,43,1,1,16,21,2000
195,4825.5,44,86,42,4,0,12,29,2000
196,3241,13,58,30,4,0,7,22,2000
197,2790.75,13,65,48,1,0,7,36,2000
198,2071.2,10,26,34,4,1,2,26,2000
199,3960.5,33,52,31,4,0,7,19,2000
200,3828.75,22,77,41,1,0,8,28,2000
201,3272.7,5,87,49,4,1,14,31,2000
202,5208.4502,48,99,43,3,1,11,29,2000
203,2847.95,3,71,43,1,1,12,30,2000
204,4489,24,81,41,4,0,11,26,2000
205,4985.7002,31,85,47,4,1,12,29,2000
206,2857,6,44,39,2,0,5,30,2000
207,3857.2,17,73,43,2,1,9,28,2000
208,2398.45,3,55,35,1,1,8,25,2000
209,3923.75,15,72,38,3,0,11,24,2000
210,1878.2,5,42,35,4,1,4,26,2000
211,3595.25,31,24,38,1,0,3,31,2000
212,3184.75,31,33,32,3,0,5,20,2000
213,4734.2002,41,43,37,2,1,6,30,2000
214,3668,37,53,32,2,0,8,20,2000
215,3361.5,34,32,35,4,0,3,31,2000
216,3543.7,20,51,49,4,1,6,39,2000
217,4293,36,39,43,4,0,4,38,2000
218,2337.45,1,33,49,1,1,5,39,2000
219,3133.2,16,30,47,4,1,3,42,2000
220,2957.5,15,74,45,2,0,8,35,2000
221,4125.7002,26,98,40,4,1,13,23,2000
222,3079.95,10,90,35,3,1,9,22,2000
223,3666.7,37,22,40,4,1,2,33,2000
224,4849.9502,46,64,30,1,1,7,22,2000
225,2190,12,25,31,4,0,2,24,2000
226,2908.45,16,51,43,1,1,7,35,2000
227,3082.5,9,82,46,2,0,12,31,2000
228,4438.5,37,70,36,2,0,7,25,2000
229,,44,76,33,1,0,11,18,2000
230,3578.2,26,77,37,2,1,11,24,2000
231,4386.7002,50,40,46,2,1,5,39,2000
232,5240.7002,45,60,43,2,1,9,33,2000
233,3584.25,16,96,48,3,0,14,33,2000
234,3365.45,21,48,39,3,1,7,29,2000
235,3217.2,15,51,37,4,1,5,30,2000
236,4143.7002,22,77,39,4,1,9,23,2000
237,2276.7,8,39,45,4,1,5,35,2000
238,5315.9502,51,66,41,1,1,6,30,2000
239,3749.5,23,41,35,4,0,7,21,2000
240,2576.75,5,56,40,1,0,8,30,2000
241,2730.2,6,72,31,2,1,12,12,2000
242,4479.4502,44,67,30,3,1,10,13,2000
243,2440.75,7,34,49,3,0,5,38,2000
244,2259.2,8,36,34,2,1,4,28,2000
245,3524.25,9,76,49,3,0,9,37,2000
246,2478.75,6,47,45,1,0,5,34,2000
247,3127,9,93,41,2,0,9,30,2000
248,4082.7,20,87,31,2,1,8,19,2000
249,3715.5,43,24,48,2,0,4,43,2000
250,3401.5,14,63,39,4,0,9,27,2000
251,4952.25,40,88,39,1,0,10,23,2000
252,2965.2,7,67,43,2,1,9,32,2000
253,3562.75,15,88,39,1,0,11,26,2000
254,,23,64,46,1,1,6,36,2000
255,3251.95,21,40,31,3,1,4,20,2000
256,3244.95,17,34,43,3,1,3,36,2000
257,2980.2,7,94,47,4,1,11,30,2000
258,4572.5,45,46,30,2,0,6,19,2000
259,3050.5,21,22,43,2,0,3,37,2000
260,3371.25,12,54,41,1,0,5,31,2000
261,2917.25,2,70,32,1,0,8,19,2000
262,2856.5,27,21,35,2,0,2,27,2000
263,4715.4502,41,70,46,1,1,10,33,2000
264,2920.2,25,31,31,4,1,4,22,2000
265,2560.75,8,22,38,3,0,2,32,2000
266,3376.2,7,64,40,2,1,11,22,2000
267,,34,69,47,3,0,8,36,2000
268,3800.7,20,82,49,2,1,10,37,2000
269,4060.7,39,22,46,4,1,3,37,2000
270,4842.5,32,94,48,4,0,12,35,2000
271,3105.5,4,69,35,2,0,10,23,2000
272,4319,18,98,45,4,0,16,28,2000
273,3953.75,47,28,36,1,0,3,30,2000
274,3002.25,7,84,36,3,0,10,21,2000
275,2867.95,17,31,42,1,1,4,36,2000
276,4254,42,41,45,4,0,6,38,2000
277,5567,51,61,41,4,0,8,32,2000
278,4832.7002,32,79,47,2,1,8,35,2000
279,4584.4502,40,82,37,1,1,11,23,2000
280,3047.2,25,23,39,2,1,3,34,2000
281,3064.7,21,60,42,2,1,7,29,2000
282,3392.75,9,99,39,3,0,17,20,2000
283,3231.7,15,36,36,4,1,4,31,2000
284,3403.75,11,63,44,1,0,6,36,2000
285,3012.45,21,53,45,1,1,8,35,2000
286,4194.25,47,25,48,3,0,3,41,2000
287,3796.75,30,89,30,1,0,11,18,2000
288,2399,12,26,48,2,0,3,38,2000
289,5749.4502,51,77,46,1,1,13,29,2000
290,5288.5,49,72,38,4,0,12,23,2000
291,4869.75,26,99,41,3,0,14,20,2000
292,3518.7,19,92,37,4,1,11,21,2000
293,3703.2,25,78,32,2,1,13,16,2000
294,3916.45,28,61,30,1,1,10,15,2000
295,4307.4502,44,34,31,1,1,5,21,2000
296,4827.2002,49,79,35,2,1,8,20,2000
297,3793,36,54,32,4,0,8,18,2000
298,4155.2002,46,51,34,2,1,9,18,2000
299,,9,86,48,4,0,9,38,2000
300,3352.5,26,48,38,2,0,6,27,2000
301,4524.7002,38,62,33,4,1,7,19,2000
302,2786.25,26,20,36,3,0,2,27,2000
303,4428.7002,35,50,36,4,1,7,25,2000
304,3351.5,9,78,31,4,0,12,15,2000
305,4642.75,37,89,44,1,0,15,22,2000
306,4382.4502,46,27,42,3,1,3,33,2000
307,4272,27,97,31,4,0,13,16,2000
308,2259,7,56,35,2,0,8,22,2000
309,4210.7002,33,86,49,2,1,11,33,2000
310,3406,15,54,40,4,0,9,30,2000
311,2826.45,11,51,47,1,1,5,37,2000
312,2888.45,5,59,30,3,1,6,19,2000
313,2448.75,3,60,48,1,0,9,34,2000
314,2768.75,3,87,36,3,0,9,26,2000
315,5670.25,47,90,48,3,0,14,31,2000
316,5566.7002,46,69,42,4,1,11,25,2000
317,2556.95,4,40,44,3,1,4,38,2000
318,3450.45,11,96,41,1,1,12,23,2000
319,2117,11,31,46,2,0,3,36,2000
320,3112.25,27,30,47,1,0,3,37,2000
321,3902.25,30,53,40,3,0,8,31,2000
322,3761,31,51,49,2,0,7,38,2000
323,,13,60,48,4,1,8,39,2000
324,3784.2,5,86,49,4,1,13,32,2000
325,2754.2,15,43,43,2,1,6,30,2000
326,3021.75,21,21,36,3,0,3,28,2000
327,3988.95,23,66,41,3,1,6,34,2000
328,4292.25,38,33,43,1,0,5,33,2000
329,4670.9502,41,63,49,1,1,11,32,2000
330,4332,34,85,43,4,0,12,24,2000
331,5760.9502,48,82,47,1,1,11,30,2000
332,3579.75,23,62,35,3,0,10,20,2000
333,4322.9502,35,68,46,3,1,9,32,2000
334,3851.5,16,63,47,4,0,10,31,2000
335,5419.2002,45,73,47,2,1,11,30,2000
336,2929.25,15,78,33,1,0,8,23,2000
337,4121.5,35,28,45,2,0,4,35,2000
338,4108,15,99,47,4,0,14,32,2000
339,2980.2,7,75,30,4,1,9,14,2000
340,3347.75,32,40,37,3,0,4,26,2000
341,4558,49,30,39,2,0,5,28,2000
342,2991.2,25,20,33,2,1,2,28,2000
343,3095.5,19,41,48,2,0,6,37,2000
344,5676.7002,46,80,48,2,1,13,31,2000
345,5078.9502,46,88,39,1,1,14,18,2000
346,4289,25,97,33,4,0,12,16,2000
347,5535.5,49,74,47,2,0,13,27,2000
348,5030.25,45,90,35,3,0,9,21,2000
349,2466.75,18,27,43,1,0,3,36,2000
350,4313.4502,33,78,38,1,1,9,25,2000
351,5335.75,48,76,35,3,0,12,20,2000
352,4421,37,93,46,2,0,11,34,2000
353,4247.5,38,50,49,4,0,5,41,2000
354,3260.95,17,52,47,3,1,8,32,2000
355,4880.25,38,76,33,1,0,11,17,2000
356,3689.5,21,66,47,2,0,7,39,2000
357,3048.7,12,49,38,4,1,5,31,2000
358,3980,48,27,41,4,0,3,34,2000
359,3677.7,26,45,46,4,1,6,35,2000
360,2152.5,2,60,46,2,0,6,33,2000
361,3313,13,45,42,2,0,6,30,2000
362,2383.7,5,38,35,4,1,4,29,2000
363,4252.75,14,89,47,1,0,15,28,2000
364,2212.5,4,67,36,2,0,8,27,2000
365,4534.9502,49,38,39,3,1,6,28,2000
366,,33,42,40,2,0,5,33,2000
367,6327.7002,52,90,44,4,1,15,23,2000
368,2668.45,2,73,43,1,1,9,29,2000
369,3742.75,30,65,44,3,0,7,30,2000
370,3719.95,23,81,41,1,1,12,26,2000
371,2815,15,31,47,4,0,4,38,2000
372,5127.4502,51,80,30,1,1,9,19,2000
373,2808.5,10,28,47,4,0,2,41,2000
374,3975.75,28,44,44,1,0,6,34,2000
375,2667.45,3,37,36,1,1,6,27,2000
376,3737.7,22,69,38,4,1,11,25,2000
377,3820.7,37,34,35,4,1,4,27,2000
378,2900.2,3,78,36,4,1,8,24,2000
379,3780.5,40,36,40,2,0,5,29,2000
380,3193.7,10,78,45,2,1,9,33,2000
381,2687.75,9,76,36,1,0,10,20,2000
382,2193.7,6,43,42,2,1,7,29,2000
383,4354.9502,26,66,47,3,1,9,32,2000
384,4359.4502,31,75,40,1,1,13,25,2000
385,2701.45,4,63,43,1,1,8,29,2000
386,3373.7,19,75,37,4,1,8,27,2000
387,3023,9,85,36,2,0,13,16,2000
388,4363.4502,35,62,40,3,1,9,29,2000
389,3984.25,27,60,41,1,0,9,29,2000
390,3035.5,13,50,32,2,0,5,23,2000
391,2482.25,13,46,39,1,0,7,25,2000
392,3665.2,10,84,36,4,1,9,22,2000
393,2567.2,7,63,46,4,1,9,34,2000
394,3653.95,28,44,44,3,1,5,36,2000
395,,40,83,31,1,1,14,16,2000
396,4375,38,40,31,4,0,5,24,2000
397,2774.2,11,58,42,2,1,6,34,2000
398,4749,50,32,32,4,0,3,26,2000
399,4098.7002,28,70,38,2,1,9,25,2000
400,2754.75,22,21,45,3,0,2,38,2000
401,,8,48,31,3,0,4,25,2000
402,3964.7,38,33,30,4,1,4,23,2000
403,4532.4502,24,94,42,1,1,10,25,2000
404,2832.25,13,28,48,3,0,4,37,2000
405,3804.25,22,85,47,3,0,10,31,2000
406,2434.25,6,24,43,3,0,3,39,2000
407,2461.2,5,91,30,2,1,11,14,2000
408,6041.4502,51,92,37,3,1,16,17,2000
409,4731.7002,43,39,43,4,1,4,35,2000
410,4491,22,96,43,4,0,17,22,2000
411,5026.75,38,86,45,1,0,13,26,2000
412,4082.75,24,89,35,3,0,9,22,2000
413,2924.7,25,20,43,4,1,3,37,2000
414,3322.75,32,27,38,1,0,4,28,2000
415,3884.75,29,50,44,3,0,7,34,2000
416,3966.75,22,98,44,3,0,12,28,2000
417,4302.25,34,65,32,3,0,10,21,2000
418,2618.95,10,42,42,3,1,6,34,2000
419,3755.5,16,77,41,4,0,13,23,2000
420,3045.2,30,34,40,2,1,3,30,2000
421,5173.5,36,99,40,4,0,13,25,2000
422,2921.95,14,50,37,3,1,6,28,2000
423,2494.75,6,48,32,3,0,7,20,2000
424,4066.45,23,93,38,1,1,14,19,2000
425,3795.2,18,57,40,4,1,9,30,2000
426,3569.7,12,94,49,2,1,13,35,2000
427,5199.9502,44,99,37,3,1,16,20,2000
428,,31,36,33,4,0,6,21,2000
429,5368,44,83,34,4,0,13,18,2000
430,4722.4502,49,27,34,1,1,4,25,2000
431,4532.2002,23,87,47,2,1,14,28,2000
432,3659,22,83,31,4,0,8,20,2000
433,4557.4502,37,96,40,1,1,17,17,2000
434,3219.75,7,66,44,1,0,7,36,2000
435,3982.45,19,98,45,3,1,10,31,2000
436,3689.2,18,72,37,4,1,7,24,2000
437,4699.9502,40,76,49,1,1,8,40,2000
438,2572.7,7,34,31,2,1,3,23,2000
439,2460.75,19,27,34,3,0,3,30,2000
440,3572.95,24,32,39,1,1,3,34,2000
441,4720.4502,48,47,45,1,1,7,35,2000
442,3070.2,18,53,36,2,1,6,28,2000
443,4547.75,31,84,42,1,0,14,26,2000
444,3895.95,19,54,48,3,1,8,38,2000
445,3110.95,7,68,48,3,1,10,36,2000
446,2141.5,2,20,48,4,0,3,41,2000
447,2978.75,7,84,39,1,0,13,20,2000
448,,34,84,35,4,1,10,21,2000
449,4315.4502,36,50,33,3,1,8,23,2000
450,2226.45,7,41,47,3,1,5,35,2000
451,1966.75,1,36,32,3,0,6,20,2000
452,2884.95,6,93,37,1,1,10,24,2000
453,3264.2,22,33,41,4,1,4,30,2000
454,4543.5,44,41,47,2,0,4,41,2000
455,3877.2,28,86,44,2,1,10,28,2000
456,2679,9,73,37,2,0,12,20,2000
457,,5,28,46,3,0,3,42,2000
458,4004.95,28,68,43,1,1,10,26,2000
459,4062.5,30,70,38,2,0,11,25,2000
460,2450.25,16,23,43,3,0,3,37,2000
461,3764.5,12,96,48,2,0,15,31,2000
462,3374.75,33,29,30,3,0,3,20,2000
463,2851.75,8,27,47,3,0,3,38,2000
464,3451.45,11,73,46,1,1,10,31,2000
465,5217.75,42,87,43,1,0,14,28,2000
466,2218.75,5,33,48,3,0,5,42,2000
467,3338,31,32,41,4,0,3,32,2000
468,4558.9502,33,57,45,1,1,7,32,2000
469,3948.25,23,85,41,1,0,12,25,2000
470,3497.75,33,54,30,1,0,9,16,2000
471,2904,10,56,43,2,0,6,32,2000
472,4267.2002,33,49,45,4,1,7,32,2000
473,2664.95,10,23,33,1,1,3,28,2000
474,4570.9502,48,55,41,3,1,8,30,2000
475,4844,42,79,36,2,0,8,24,2000
476,5079.25,43,87,48,3,0,11,35,2000
477,4116.9502,34,83,41,3,1,10,28,2000
478,3877.25,36,47,43,3,0,5,33,2000
479,4523.7002,37,85,35,2,1,9,21,2000
480,3375,23,41,40,2,0,6,32,2000
481,2163.75,3,26,31,1,0,3,26,2000
482,3595,33,30,45,2,0,3,40,2000
483,3401.95,15,82,42,1,1,9,30,2000
484,4323.4502,35,89,42,3,1,12,23,2000
485,3878.7,41,32,32,2,1,4,27,2000
486,3666.25,30,53,47,1,0,9,37,2000
487,4310.25,28,67,43,1,0,11,29,2000
488,4449.25,45,32,45,1,0,3,35,2000
489,2946.7,13,54,31,4,1,6,19,2000
490,4430.75,21,97,35,3,0,16,18,2000
491,4051.25,26,43,45,3,0,6,35,2000
492,4825.2002,49,73,33,2,1,9,20,2000
493,4072.5,25,68,44,4,0,8,33,2000
494,3717,13,74,49,2,0,12,36,2000
495,4322,27,92,39,4,0,14,20,2000
496,3080.25,10,46,33,3,0,5,21,2000
497,2893.95,13,59,34,3,1,9,22,2000
498,4339.2002,50,43,30,2,1,5,18,2000
499,3764.45,34,30,48,1,1,4,39,2000
500,3009.75,17,79,30,1,0,12,12,2000
501,5043.5,46,59,42,4,0,8,31,2000
502,2766.75,3,74,41,1,0,10,28,2000
503,5299,43,94,37,4,0,10,24,2000
504,5407.7002,51,74,40,2,1,12,21,2000
505,4632.4502,40,79,47,3,1,9,33,2000
506,4022.45,29,56,39,3,1,6,31,2000
507,3477.75,14,61,39,3,0,6,30,2000
508,4294.2002,27,95,47,2,1,14,30,2000
509,4952.2002,41,84,39,2,1,12,26,2000
510,3016.95,17,55,36,3,1,7,26,2000
511,2498.45,1,32,43,3,1,5,33,2000
512,4017.2,33,53,49,4,1,8,38,2000
513,4878.7002,35,96,30,4,1,10,13,2000
514,4435.5,33,77,45,4,0,9,35,2000
515,3828.2,28,59,31,4,1,8,22,2000
516,2994.5,17,48,43,2,0,5,33,2000
517,4359.75,38,58,40,3,0,6,30,2000
518,2050.75,8,39,30,1,0,4,24,2000
519,4292.25,27,96,42,3,0,12,27,2000
520,4802.4502,44,61,47,3,1,10,31,2000
521,4064.5,44,27,30,2,0,4,19,2000
522,4081.75,44,40,41,1,0,4,36,2000
523,3720.2,32,34,46,2,1,4,36,2000
524,3349.2,12,48,47,4,1,6,34,2000
525,2270.25,2,68,35,1,0,10,21,2000
526,4251.75,16,98,35,3,0,14,16,2000
527,4039.95,41,29,32,3,1,4,22,2000
528,3346.95,24,63,49,1,1,6,40,2000
529,3876.2,41,49,35,2,1,6,22,2000
530,3199.2,31,36,34,2,1,4,26,2000
531,4001.5,46,34,30,2,0,4,21,2000
532,4966.7002,38,83,40,2,1,14,21,2000
533,3940.45,19,61,47,1,1,9,37,2000
534,4637.7002,24,94,40,4,1,14,23,2000
535,2389,8,26,32,2,0,3,28,2000
536,5727.9502,51,99,36,1,1,11,22,2000
537,3762.2,21,51,45,4,1,8,30,2000
538,3670.45,37,42,31,3,1,7,23,2000
539,3019.7,2,69,44,4,1,8,31,2000
540,2822.7,7,80,30,2,1,11,17,2000
541,3960.25,25,57,34,1,0,10,19,2000
542,3785.5,24,72,36,4,0,9,21,2000
543,5159.25,48,49,47,1,0,7,39,2000
544,2796.2,8,66,47,4,1,7,38,2000
545,4748.2002,34,85,35,2,1,12,20,2000
546,3369,32,36,31,4,0,4,26,2000
547,3615.75,20,97,34,1,0,11,16,2000
548,3114.7,15,72,32,4,1,10,21,2000
549,4385.4502,49,55,43,1,1,5,33,2000
550,3014.95,5,84,45,3,1,14,30,2000
551,4724.7002,43,67,46,4,1,11,31,2000
552,5034.7002,46,98,48,4,1,11,35,2000
553,4091.25,33,58,30,3,0,10,13,2000
554,4500.7002,44,23,46,2,1,3,39,2000
555,3239.5,26,26,32,2,0,3,23,2000
556,5824.75,46,98,45,1,0,16,24,2000
557,3368.2,21,55,35,2,1,7,22,2000
558,3752.45,22,81,38,1,1,13,21,2000
559,2989.5,18,26,44,2,0,3,35,2000
560,3168.25,33,34,42,1,0,3,37,2000
561,3287.7,12,91,41,2,1,12,23,2000
562,2595.2,3,57,49,2,1,10,38,2000
563,3855,21,64,41,2,0,6,28,2000
564,2357,7,53,49,2,0,9,38,2000
565,5329.75,38,85,40,3,0,12,24,2000
566,2499.2,10,25,48,2,1,3,44,2000
567,3936.7,48,38,30,2,1,5,21,2000
568,3154.75,13,97,30,1,0,14,12,2000
569,2347.75,10,36,30,3,0,5,18,2000
570,2331.25,15,42,33,1,0,4,25,2000
571,2723.95,10,28,47,1,1,3,40,2000
572,3035.7,24,28,34,4,1,3,27,2000
573,4069,26,55,47,2,0,5,36,2000
574,3424.25,36,28,49,1,0,4,43,2000
575,3019.95,10,76,47,1,1,12,32,2000
576,3887.25,49,23,37,1,0,2,33,2000
577,3373.2,15,35,47,4,1,5,38,2000
578,4753.7002,32,86,30,4,1,9,17,2000
579,2221.45,8,50,32,3,1,8,23,2000
580,3208.7,29,39,34,4,1,3,27,2000
581,4549.75,47,26,44,1,0,4,36,2000
582,3287.75,6,98,47,1,0,13,28,2000
583,,6,80,30,1,1,11,13,2000
584,5001.4502,43,78,49,1,1,13,31,2000
585,4061.95,27,88,36,3,1,11,18,2000
586,5050.4502,49,40,46,3,1,6,39,2000
